"swe","year","EVI","LAI","prcp","NDVI","PET","tmax","vp","week","FPAR","ET","PLE","tmin","dayl"
24.0650616681118,2000,1485.26821035278,1.15801269512049,2.80439811989522,2896.30970044962,166.921085531082,10.957627120037,687.541510026282,1,7.74097044059331,88.9975523149667,516.845511398814,0.622984750978046,38584.1224544574
11.6951120571626,2000,1485.26821035278,2.13075846550687,3.23577695999834,2896.30970044962,198.977660312921,15.3579968561617,821.199308664398,2,14.1262383913152,74.7493593632767,616.47491747437,3.53793169807251,39660.5761368545
6.36025319650548,2000,1670.27977432178,3.22184119568334,0.265447582134939,3088.81232758169,248.917841449405,18.2818345150285,751.112674747191,3,20.8596380129545,64.5929800093898,770.360942046701,2.53921192175141,40768.7540556893
3.03649943564478,2000,1670.27977432178,2.92475181054798,2.23966028851787,3088.81232758169,228.956695887664,10.3255310724544,535.7038072896,4,18.6205125018854,75.5795125545505,708.89909782377,-1.86208597444519,41897.4632003883
1.77870648628646,2000,1923.04278437838,3.53553893528272,3.64960182511878,3496.38154748493,249.879811369156,11.3417066831985,712.457252034064,5,21.5765014199419,83.9238312785453,773.284476343372,1.85614701663541,43036.747772405
0.334605926085038,2000,1923.04278437838,4.52401664600878,1.10593125704724,3496.38154748493,314.075057521742,16.670275456846,746.751342325708,6,26.6152063770958,78.1214219905501,971.180712949905,2.64017125931315,44177.337180319
0.0465485784882256,2000,2161.71640459916,4.92344058656223,0.574266015245007,3877.53018770818,315.994647979817,16.7879133768416,737.422932227637,7,26.4807124265042,76.7133752579953,978.483567273175,2.88645155820272,45310.0469233444
0.000213879007957288,2000,2161.71640459916,5.55129632778202,2.17805883780726,3877.53018770818,315.032634375999,13.6820260810008,635.028458519506,8,27.5340306659968,98.4937430279383,972.950481684626,0.717712950464805,46425.1764085222
0,2000,2161.71640459916,5.55129632778202,6.42647293725858,3877.53018770818,315.032634375999,19.2053337647045,953.833161885188,9,27.5340306659968,98.4937430279383,972.950481684626,6.7446525152288,47511.9382259743
0,2000,2406.29228292107,5.87859022664744,2.08608869049114,4224.10847927546,371.935443191818,18.5615462276056,824.478789986264,10,28.153176109782,89.7283520391009,1145.97222696993,4.33897382423083,48557.9790476406
0,2000,2406.29228292107,6.80487433419249,1.04779093044887,4224.10847927546,433.243391414552,23.5893910376344,1120.61918619146,11,31.2739496304694,97.0836777609437,1331.52646923457,8.76248958252313,49549.05351998
0,2000,3044.4517322302,8.7029053357687,4.94529797144529,4762.03274046017,439.835820192188,26.1835078400971,1700.60122015109,12,36.4146556053727,140.133210152228,1348.97723569873,14.7986224103714,50468.9249371017
0,2000,3044.4517322302,8.96400897479855,3.39960053518153,4762.03274046017,413.082532282637,23.4715007735268,1365.2052105479,13,36.1139569416864,145.928650297771,1267.93326596742,11.1072842485545,51299.5947241649
0,2000,3396.34422468969,9.38439465143625,1.33168481902097,5107.71997171189,426.487712620814,23.7818685158383,1325.51711619157,14,37.0545262311587,146.524964105555,1307.31083793394,11.160090861195,52021.9227298766
0,2000,3396.34422468969,11.7936015528783,7.47879213404006,5107.71997171189,501.877621547407,24.687908074551,1610.00178400744,15,44.049802759797,154.79498877777,1537.0261321352,14.0744998519138,52616.6860885087
0,2000,3776.03498636685,13.2744264810668,1.34637115130829,5643.62126416198,520.391550643746,24.3884259244789,1393.00625454577,16,47.7237411995816,171.342575509632,1591.02447979971,11.7833537166206,53066.021133183
0,2000,3776.03498636685,13.2744264810668,6.56918594342065,5643.62126416198,520.391550643746,29.1898154684789,2125.48790317275,17,47.7237411995816,171.342575509632,1591.02447979971,18.3715136759351,53355.0880590261
0,2000,3776.03498636685,16.0208371432445,9.04141559548829,5643.62126416198,486.208864520334,26.1617822105516,1828.54729257461,18,53.9644128774688,206.572074500021,1484.90921710685,15.942032165329,53473.6825900017
0,2000,5487.9169469955,20.234344860732,8.97780797034776,7525.21786465742,497.14553716133,26.8951512387429,1915.62261175098,19,63.1893315033503,247.354849141877,1519.7638388152,16.6758424345848,53417.4621928255
0,2000,5487.9169469955,23.4961472026665,5.75137555741028,7525.21786465742,541.234734971384,29.1382354020352,2140.53383842695,20,68.0954319345374,295.290439711,1651.16158733651,18.3369994814593,53188.4966449166
0,2000,6405.40798452847,26.5114467596666,4.5920980837127,8131.86151486799,557.079298418552,29.9384495350635,2292.93254283742,21,71.8405846733596,326.076800611943,1696.72771029571,19.5797287765962,52795.0048344861
0,2000,6405.40798452847,27.3583034869833,2.05483373429056,8131.86151486799,542.163866303544,27.6638766302512,1967.95998930299,22,72.9488919956949,317.293397816909,1654.60392115296,17.0943732074476,52250.3394515458
0,2000,6408.72280874224,27.6830282888737,0.491603191457325,8130.09479834632,497.686652349112,27.12682054799,1600.76278858796,23,73.5618366719908,302.953618147375,1519.77784037216,13.9104187925846,51571.4781449859
0,2000,6408.72280874224,26.4381445663448,5.009699729175,8130.09479834632,488.75201591279,27.8258173401166,2093.53068724404,24,71.8339153680881,295.507704512797,1488.78211492728,18.1958843690377,50777.3392637795
0,2000,6408.72280874224,26.4381445663448,4.82589872977164,8130.09479834632,488.75201591279,29.5763877165056,2128.44297397968,25,71.8339153680881,295.507704512797,1488.78211492728,18.3167986160874,49887.2363635952
0,2000,5612.83556699796,17.1140572660713,1.75419179423061,7609.6787783625,496.031062613272,30.2276649147662,2002.2852844449,26,52.2085123271911,270.024874766085,1509.58611009397,17.3910546293245,48919.6707711277
